Use,Ion name,Ion mass,adduct mass,Charge ,Mult,Mass,Result:,Reverse:
0,M+3H,M/3 + 1.007276 ,1.007276,3,3,1.007276,285.450906,291.099391
0,M+2H+Na,M/3 + 8.334590 ,8.33459,3,3,8.33459,292.77822,283.772077
0,M+H+2Na,M/3 + 15.7661904 ,15.7661904,3,3,15.76619,300.20982,276.340476
0,M+3Na,M/3 + 22.989218 ,22.989218,3,3,22.989218,307.432848,269.117449
0,M+2H,M/2 + 1.007276 ,1.007276,2,2,1.007276,427.672721,437.152724
0,M+H+NH4,M/2 + 9.520550 ,9.52055,2,2,9.52055,436.185995,428.63945
0,M+H+Na,M/2 + 11.998247 ,11.998247,2,2,11.998247,438.663692,426.161753
0,M+H+K,M/2 + 19.985217 ,19.985217,2,2,19.985217,446.650662,418.174783
0,M+ACN+2H,M/2 + 21.520550 ,21.52055,2,2,21.52055,448.185995,416.63945
0,M+2Na,M/2 + 22.989218 ,22.989218,2,2,22.989218,449.654663,415.170782
0,M+2ACN+2H,M/2 + 42.033823 ,42.033823,2,2,42.033823,468.699268,396.126177
0,M+3ACN+2H,M/2 + 62.547097 ,62.547097,2,2,62.547097,489.212542,375.612903
1,M+H,M + 1.007276 ,1.007276,1,1,1.007276,854.338166,875.312724
0,M+NH4,M + 18.033823 ,18.033823,1,1,18.033823,871.364713,858.286177
1,M+Na,M + 22.989218 ,22.989218,1,1,22.989218,876.320108,853.330782
0,M+CH3OH+H,M + 33.033489 ,33.033489,1,1,33.033489,886.364379,843.286511
1,M+K,M + 38.963158 ,38.963158,1,1,38.963158,892.294048,837.356842
0,M+ACN+H,M + 42.033823 ,42.033823,1,1,42.033823,895.364713,834.286177
0,M+2Na-H,M + 44.971160 ,44.97116,1,1,44.97116,898.30205,831.34884
0,M+IsoProp+H,M + 61.06534,61.06534,1,1,61.06534,914.39623,815.25466
0,M+ACN+Na,M + 64.015765 ,64.015765,1,1,64.015765,917.346655,812.304235
0,M+2K-H,M + 76.919040 ,76.91904,1,1,76.91904,930.24993,799.40096
0,M+DMSO+H,M + 79.02122 ,79.02122,1,1,79.02122,932.35211,797.29878
0,M+2ACN+H,M + 83.060370 ,83.06037,1,1,83.06037,936.39126,793.25963
0,M+IsoProp+Na+H,M + 84.05511,84.05511,1,1,84.05511,937.386,792.26489
0,2M+H,2M + 1.007276 ,1.007276,1,0.5,1.007276,1707.669056,1751.632724
0,2M+NH4,2M + 18.033823 ,18.033823,1,0.5,18.033823,1724.695603,1734.606177
0,2M+Na,2M + 22.989218 ,22.989218,1,0.5,22.989218,1729.650998,1729.650782
0,2M+K,2M + 38.963158 ,38.963158,1,0.5,38.963158,1745.624938,1713.676842
0,2M+ACN+H,2M + 42.033823 ,42.033823,1,0.5,42.033823,1748.695603,1710.606177
0,2M+ACN+Na,2M + 64.015765 ,64.015765,1,0.5,64.015765,1770.677545,1688.624235