compound name,molecular formular,last SN over threshold,last dilution over threshold,LOD [fmol/µl]
Acephate,C4H10NO3PS,15,3,342
Sulfadiazole,C7H12N4O3S2,15,7,237
Carboxin,C12H13NO2S,11,7,266
Flusilazole,C16H15F2N3Si,20,5,198
Phosmet,C11H12NO4PS2,44,4,197
Thifensulfurson methyl,C12H13N5O6S2,23,6,161
Desmedipham,C16H16N2O4,14,7,208
Malaoxon,C10H19O7PS,17,6,199
Metribuzin,C8H14N4OS,14,6,292
Nitenpyram,C11H15ClN4O2,14,4,231
Dimethomorph,C21H22ClNO4,14,6,161
Fenamiphos,C13H22NO3PS,22,2,206
Metsulfuron-methyl,C14H15N5O6S,13,6,164
Trietazin,C9H16ClN5,19,7,273
Halofenozide,C18H19ClN2O2,11,5,189
Myclobutanil,C15H17ClN4,29,5,217
Halosulfuron-methyl,C13H15ClN6O7S,15,4,144
Hexaconazole,C14H17Cl2N3O,20,7,200
Iprovalicarb,C18H28N2O3,14,6,195
Triasulfuron,C14H16ClN5O5S,13,7,156
Azoxystrobin,C22H17N3O5,24,6,155
Bifenazate,C17H20N2O3,19,3,208
Fluopicolide,C14H8Cl3F3N2O,21,8,164
Metconazole,C17H22ClN3O,24,6,196
Rimsulfuron,C14H17N5O7S2,13,6,145
Zoxamide,C14H16Cl3NO2,15,6,187
Bifenazate,C17H20N2O3,79,9,208
Clethodim,C17H26ClNO3S,14,2,174
Isoprothiolane,C12H18O4S2,27,8,215
Methoprotryne,C11H21N5OS,15,7,231
Fenamidone,C17H17N3OS,12,5,201
Fluoxastrobin,C21H16ClFN4O5,12,8,136
Isoprothiolane,C12H18O4S2,23,7,215
Isoxaflutole,C15H12F3NO4S,12,3,174
Propioconazole,C15H17Cl2N3O2,11,7,183
Secbumeton,C10H19N5O,11,7,278
Amidosulfuron,C9H15N5O7S2,12,7,169
Bispyribac sodium salt,C19H18N4O8,12,6,138
Flufenacet,C14H13F4N3O2S,11,8,172
Fluoxastrobin,C21H16ClFN4O5,30,1,136
Triadimefon,C14H16ClN3O2,17,5,213
Azinphos-Ethyl,C12H16N3O3PS2,10,4,181
Chlorfenvinphos,C12H14Cl3O4P,21,7,175
Cyprodinil,C14H15N3,11,6,278
Furathiocarb,C18H26N2O5S,21,7,164
Methiocarb,C11H15NO2S,24,3,278
Methoxyfenozide,C22H28N2O3,19,3,170
Tribenuron methyl,C15H17N5O6S,25,4,158
Aminocarb,C11H16N2O2,80,9,300
Lenacil,C13H18N2O2,28,1,267
Tricyclazol,C9H7N3S,12,6,331
Dimoxystrobin,C19H22N2O3,14,7,192
Flazasulfuron,C13H12F3N5O5S,14,6,154
Ipconazole,C18H24ClN3O,17,5,188
Methoxyfenozide,C22H28N2O3,16,3,170
Propyzamide,C12H11Cl2NO,13,6,245
Spiromesifen,C23H30O4,12,6,169
Isofenphos-methyl,C14H22NO4PS,17,9,189
Prometon,C10H19N5O,24,5,278
Tepraloxydim,C17H24ClNO4,10,3,183
Alanycarb,C17H25N3O4S2,22,7,157
Fenhexamid,C14H17Cl2NO2,14,5,208
Coumaphos,C14H16ClO5PS,19,7,173
Diflufenican,C19H11F5N2O2,26,6,159
Mepanipyrim,C14H13N3,12,5,280
Phenmediphan,C16H16N2O4,29,6,208
Rotenone,C23H22O6,21,5,159
Malathion,C10H19O6PS2,20,7,189
Bupirimate,C13H24N4O3S,13,7,198
Hexaflumuron,C16H8Cl2F6N2O3,18,6,136
Mandipropamid,C23H22ClNO4,19,7,152
Benzoximate,C18H18ClNO5,15,2,172
Dursban,C9H11Cl3NO3PS,14,6,179
Mandipropamid,C23H22ClNO4,17,5,152
Picoxystrobin,C18H16F3NO4,19,6,170
Proquinazid,C14H17IN2O2,10,7,168
Benzoximate,C18H18ClNO5,23,2,172
Boscalid,C18H12Cl2N2O,11,7,183
Picoxystrobin,C18H16F3NO4,13,3,170
Spirodiclofen,C21H24Cl2O4,11,6,152
Ethofumesate,C13H18O5S,27,3,218
Mecarbam,C10H20NO5PS2,26,6,190
Pyraclostrobin,C19H18ClN3O4,12,6,161
Temephos,C16H20O6P2S3,18,6,134
Mixture of Avermectin B1a and B1b,C48H72O14,17,2,72
Azamethiphos,C9H10ClN2O5PS,18,8,193
Carbaryl,C12H11NO2,10,4,311
Carbendazim,C9H9N3O2,34,7,327
Ethyoxyquin,C14H19NO,18,2,288
Mexacarbate,C12H18N2O2,23,6,281
Pirimicarb,C11H18N4O2,18,5,262
Moxidectin,C37H53NO8,15,3,98
Trifloxystrobin,C20H19F3N2O4,14,7,153
Pyripoxyfen,C20H19NO3,23,4,195
Quinalfos,C12H15N2O3PS,15,8,210
Silthiofam,C13H21NOSSi,15,7,234
Difenoconazole,C19H17Cl2N3O3,52,7,154
Fipronil,C12H4Cl2F6N4OS,15,6,143
Cyazofamid,C13H13ClN4O2S,14,3,193
Phenthoate,C12H17O4PS2,15,9,195
Ethofumesate,C13H18O5S,14,2,218
Fenpyroximate,C24H27N3O4,11,7,148
Tolylfluanid,C10H13Cl2FN2O2S2,37,2,181
Carfentrazone-ethyl,C15H14Cl2F3N3O3,17,8,152
Tolclosof methyl,C9H11Cl2O3PS,21,6,208
Carfentrazone-ethyl,C15H14Cl2F3N3O3,37,3,152
Fenazaquin,C20H22N2O,21,4,204
Indoxacarb,C22H17ClF3N3O7,19,7,119
Kresoxim-methyl,C18H19NO4,21,5,200
Indoxacarb,C22H17ClF3N3O7,33,5,119
Kresoxim-methyl,C18H19NO4,40,3,200
Pyridaben,C19H25ClN2OS,15,3,172
Profenofos,C11H15BrClO3PS,13,6,168
Triflumuron,C15H10ClF3N2O3,11,7,175
Flumetsulam,C12H9F2N5O2S,26,7,192
Fuberidazole,C11H8N2O,16,7,340
Sulfentrazone,C11H10Cl2F2N4O3S,13,5,162
Thiabendazole,C10H7N3S,19,6,311
Tebufanpyrad,C18H24ClN3O,15,2,188
Pirmiphos-methyl,C11H20N3O3PS,16,7,205
Picolinafen,C19H12F4N2O2,19,8,166
Quinoxyfen,C15H8Cl2FNO,27,7,204
Teflubenzuron,C14H6Cl2F4N2O2,12,6,164
Oxadiazon,C15H18Cl2N2O3,17,7,182
Metrafenone,C19H21BrO5,25,5,153
Pendimethalin (Penoxalin),C13H19N3O4,14,6,222
Propaquizafop,C22H22ClN3O5,15,5,141
Benfuracarb,C20H30N2O5S,23,1,152
Benfuracarb,C20H30N2O5S,11,3,152
Fosthiazate,C9H18NO3PS2,15,6,221
Metamitron,C10H10N4O,16,3,309
Phospamidon (Mix of isomers),C10H19ClNO5P,15,7,209
Sulfentrazone,C11H10Cl2F2N4O3S,11,7,162
Thiametoxam,C8H10ClN5O3S,24,6,215
Flufenoxuron,C21H11ClF6N2O3,12,8,128
Hexythiazox,C17H21ClN2O2S,12,6,178
Carbofuran,C12H15NO3,15,4,283
Chloridazon,C10H8ClN3O,48,8,283
Fosthiazate,C9H18NO3PS2,23,7,221
Imidacloprid,C9H10ClN5O2,16,6,245
Mesosulfuron-methyl,C17H21N5O9S2,14,6,124
Triticonazole,C17H20ClN3O,32,5,197
Azaconazole,C12H11Cl2N3O2,10,7,209
Cymoxanil,C7H10N4O3,23,2,316
Fenarimol,C17H12Cl2N2O,18,6,189
Fluometuron,C10H11F3N2O,13,6,269
Nitenpyram,C11H15ClN4O2,11,5,231
Cymiazol hydrochloride,C12H14N2S,12,7,287
Ethirimol,C11H19N3O,12,7,299
Flumioxazin,C19H15FN2O4,13,2,177
Fluquinconazole,C16H8Cl2FN5O,14,7,167
Flutriafol,C16H13F2N3O,19,6,208
Diethofencarb,C14H21NO4,14,7,234
Dimethachlor,C13H18ClNO2,36,7,245
Ethoprop,C8H19O2PS2,18,6,258
Foramsulfron,C17H20N6O7S,17,6,138
Metobromuron,C9H11BrN2O2,16,6,242
Chlorantraniliprole,C18H14BrCl2N5O2,11,7,130
Guthion,C10H12N3O3PS2,11,6,197
Methabenzthiazurone,C10H11N3OS,10,7,283
Oxadixyl,C14H18N2O4,13,4,225
Quinoclamine,C10H6ClNO2,35,2,302
Spirotetramat,C21H27NO5,14,7,167
Tebuconazole,C16H22ClN3O,16,6,203
Tebuthiuron,C9H16N4OS,12,6,274